time, x, y, heading, vel_x, vel_y, vel_heading,
1.184, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.192, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.2, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.208, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.216, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.224, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.232, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.24, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.248, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.256, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.264, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.272, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.28, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.288, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.296, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.304, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.312, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.32, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.328, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.336, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.344, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.352, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.36, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.368, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.376, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.384, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.392, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.4, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.408, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.416, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.424, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.432, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.44, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.448, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.456, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.464, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.472, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.48, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.488, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.496, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.504, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.512, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.52, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.528, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.536, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.544, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.552, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.56, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.568, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.576, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.584, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.592, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.6, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.608, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.616, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.624, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.632, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.64, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.648, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.656, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.664, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.672, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.68, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.688, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.696, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.704, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.712, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.72, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
